% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 93.15    0.019738        6579         3           wait4
  1.64    0.000348           5        63        53 openat
  0.98    0.000208         208         1           execve
  0.93    0.000197           2        91        51 newfstatat
  0.83    0.000175           3        48        32 access
  0.50    0.000106          35         3           vfork
  0.45    0.000096           4        24        16 readlink
  0.36    0.000077           4        16           close
  0.31    0.000065           5        11           mmap
  0.13    0.000028           7         4           mprotect
  0.12    0.000025           2         9           rt_sigaction
  0.08    0.000018           3         6           read
  0.08    0.000016          16         1           munmap
  0.07    0.000014           3         4           brk
  0.07    0.000014           4         3           pipe2
  0.06    0.000013           3         4           ioctl
  0.06    0.000013           3         4           pread64
  0.04    0.000009           3         3           prlimit64
  0.03    0.000007           3         2           getcwd
  0.03    0.000006           3         2         1 arch_prctl
  0.02    0.000004           4         1           futex
  0.01    0.000003           3         1           set_tid_address
  0.01    0.000003           3         1           set_robust_list
  0.01    0.000003           3         1           getrandom
  0.01    0.000003           3         1           rseq
  0.00    0.000000           0         3           unlink
------ ----------- ----------- --------- --------- ----------------
100.00    0.021189          68       310       153 total
